trial	Category	Subcategory	tarnb	Example	tarloc	tarname	dist1name	dist2name	exemplar1	exemplar2	exemplar3	exemplar4	exemplar5	exemplar6	Task
1	Butterflies	AfricanGrassBlue	1	1	1	AfricanGrassBlue_1.bmp	AllardsBlue_1.bmp	AtlasBlue_2.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
2	Butterflies	AlpineArgus	2	1	3	AlpineArgus_1.bmp	Pine_1.bmp	SpringAzure_1.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
3	Butterflies	AmericanCopper	3	1	2	AmericanCopper_1.bmp	Cardinal_1.bmp	Aphrodite_1.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
4	Butterflies	CabbageWhite	4	1	2	CabbageWhite_1.bmp	Dryad_2.bmp	Dogface_2.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
5	Butterflies	PipevineSwallowtail	5	1	1	PipevineSwallowtail_1.bmp	PiedmontRinglet_2.bmp	RedAdmiral_2.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
6	Butterflies	SpicebushSwallowtail	6	1	1	SpicebushSwallowtail_1.bmp	EasternBlackSwallowtail_1.bmp	SilverSpottedSkipper_2.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
7	Butterflies	AfricanGrassBlue	1	1	1	AfricanGrassBlue_1.bmp	AllardsBlue_2.bmp	OrangeSulphur_1.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
8	Butterflies	AlpineArgus	2	1	2	AlpineArgus_1.bmp	AllardsBlue_1.bmp	PoplarAdmiral_2.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
9	Butterflies	AmericanCopper	3	1	3	AmericanCopper_1.bmp	GulfFritillary_1.bmp	LatticeBrown_1.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
10	Butterflies	CabbageWhite	4	1	2	CabbageWhite_1.bmp	MoorlandCloudedYellow_1.bmp	PiedmontRinglet_2.bmp	AfricanGrassBlue_1.bmp	AlpineArgus_1.bmp	AmericanCopper_1.bmp	CabbageWhite_1.bmp	PipevineSwallowtail_1.bmp	SpicebushSwallowtail_1.bmp	Same
